חותמת זמן,איזה סוג ספורט תחרותי/קבוצתי אתה משחק בתדירות הגבוהה ביותר? (ניתן לבחור כמה),גיל,מין,אזור,"באיזו תדירות אתה משחק ספורט תחרותי או קבוצתי (כדורגל, כדורסל, פאדל טניס וכו')?",עד כמה חשוב לך לדעת אם אתה משתפר לאורך זמן?,מה אתה עושה היום כדי לעקוב אחרי הביצועים שלך? (ניתן לבחור כמה),מה הכי חסר לך כשאתה מסיים אימון או משחק מול חברים? (ניתן לבחור כמה),אם הייתה אפליקציה שנותנת לך דירוג אמיתי ובונה לך כרטיס שחקן עם סטטיסטיקות כמה סביר שהיית מתקין אותה?,"אם הייתה אפליקציה כזאת, זה היה מעלה לך את המוטיבציה לעשות ספורט?",באיזו פלטפורמה אתה בעיקר משתמש היום כדי לקבוע משחקים או למצוא שחקנים?,"מה המידע שהכי חסר לך כדי לצאת מהבית לשחק במגרש ציבורי? (לא חובה ניתן לבחור כמה)
","כשמתחשק לך פתאום לצאת לשחק עכשיו, עד כמה קשה לך למצוא שחקנים ברמה שלך?","אם הייתה לך גישה לקלף שחקן דיגיטלי מעוצב שכולל את ציון ה""אוברול"" שלך והסטטיסטיקות, האם היית משתף אותו ברשתות החברתיות (סטורי, וואטסאפ)?","מה ה""פיצ'ר חלומות"" שהיה גורם לך לפתוח אפליקציית ספורט כזו לפני או אחרי כל משחק?","האם היית מוכן לשלם עבור אפליקציה שתספק לך דירוג מדויק מול אחרים וניתוחי AI על הביצועים שלך (pace, shooting לדוגמא)?",עד כמה היית מעוניין להשתמש במערכת שתתעד באופן אוטומטי את תוצאת המשחק וסרטוני ההיילייטס במגרש הציבורי?,דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [דירוג אישי (Overall score)],"דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [סטטיסטיקות ספציפיות (מהירות, מרחק, קליעות, שערים)]",דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [סרטוני היילייטס ],דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [הכרה חברתית / פרסים]
18/03/2026 17:58:12,כדורגל,19-25,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,2,כלום,דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין),4,4,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),4,"כנראה שלא, אני שומר את הנתונים לעצמי",,לא הייתי משתמש / לא מעניין אותי,1,חשוב מעט,חשוב מעט,חשוב מאוד,חשוב מאוד
18/03/2026 18:03:21,כדורגל,36-45,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,2,זוכר בראש מי ניצח וכמה הבקעתי,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",5,2,קבוצות וואטסאפ של השכונה/החבר'ה,האם האורות דולקים עכשיו?,2,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,לא הייתי משתמש / לא מעניין אותי,3,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מאוד
18/03/2026 18:22:04,כדורגל,46+,זכר,תל אביב והמרכז,פעם בכמה שבועות,3,כלום,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",4,4,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",3,תלוי כמה העיצוב יהיה מרשים,,הייתי משתמש רק אם זה בחינם,4,חשוב מעט,חשוב מאוד,חשוב מעט,חשוב מעט
18/03/2026 18:36:44,כדורגל,46+,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,2,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), הכרה והערכה על ביצועים טובים",3,4,קבוצות וואטסאפ של השכונה/החבר'ה,"כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",2,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",וידאו למשחק,הייתי משתמש רק אם זה בחינם,4,חשוב מעט,חשוב מעט,חשוב מאוד,חשוב מעט
18/03/2026 18:55:12,כדורגל,26-35,זכר,תל אביב והמרכז,פעם בכמה שבועות,1,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס)",3,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",למצוא קבוצה שמחפשת שחקן למשחק באזור קרוב אלי,לא הייתי משתמש / לא מעניין אותי,5,חשוב מאוד,חשוב מאוד,חשוב מעט,לא חשוב
18/03/2026 20:57:53,כדורגל,26-35,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,5,"זוכר בראש מי ניצח וכמה הבקעתי, כלום","שום דבר, אני נהנה גם ככה",4,4,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",4,תלוי כמה העיצוב יהיה מרשים,,הייתי משתמש רק אם זה בחינם,3,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מאוד
18/03/2026 21:09:36,"כדורגל, פוצ׳יבולי",26-35,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,5,כלום,דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין),4,3,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",3,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משתמש רק אם זה בחינם,3,חשוב מעט,חשוב מעט,חשוב מעט,חשוב מעט
18/03/2026 21:19:32,כדורגל,19-25,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,2,זוכר בראש מי ניצח וכמה הבקעתי,דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין),4,2,קבוצות וואטסאפ של השכונה/החבר'ה,"מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",4,"כנראה שלא, אני שומר את הנתונים לעצמי",קלוריות,הייתי משתמש רק אם זה בחינם,2,חשוב מעט,חשוב מעט,חשוב מאוד,לא חשוב
18/03/2026 21:19:53,כדורגל,עד 18,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,2,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","הכרה והערכה על ביצועים טובים, תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,3,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",2,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משתמש רק אם זה בחינם,4,חשוב מעט,חשוב מאוד,חשוב מאוד,חשוב מאוד
19/03/2026 20:06:07,"כדורגל, פוצ׳יבולי, טניס, איגרוף",19-25,זכר,תל אביב והמרכז,כמעט ולא משחק כרגע,4,כלום,"סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, הכרה והערכה על ביצועים טובים, תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), שעות פעילות מדויקות",5,תלוי כמה העיצוב יהיה מרשים,מנטור בינה מלאכותית שמזכיר לי להתמיד ,הייתי משתמש רק אם זה בחינם,5,חשוב מעט,חשוב מעט,חשוב מאוד,חשוב מאוד
21/03/2026 20:15:08,פאדל,46+,זכר,אזור השרון,3 פעמים בשבוע או יותר,5,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)",סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים),5,5,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),4,"כנראה שלא, אני שומר את הנתונים לעצמי",,מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),5,חשוב מאוד,חשוב מאוד,חשוב מעט,חשוב מעט
21/03/2026 20:22:52,פאדל,19-25,זכר,תל אביב והמרכז,3 פעמים בשבוע או יותר,5,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)",דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין),4,3,קבוצות וואטסאפ של השכונה/החבר'ה,שעות פעילות מדויקות,3,אין לי רשתות חברתיות / לא מעלה כלום,,הייתי משתמש רק אם זה בחינם,4,חשוב מאוד,חשוב מעט,חשוב מאוד,לא חשוב
